size,path
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00/3#Ft Payne#2023-10-27 22:46:48.427000
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00/3#Boaz#2023-10-27 23:20:48.427000
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00/3#Christiana#2023-10-27 23:38:48.427000
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00/3#Murfreesboro#2023-10-27 23:33:48.427000
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Lithia Spgs#2023-10-27 23:31:00.412000/3#Dalton#2023-10-27 21:20:48.427000+00:00/3#McDonough#2023-10-27 23:27:48.427000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Boaz#2023-10-27 22:23:00/2#Buford#2023-10-27 22:33:00.412000+00:00/2#Laurens#2023-10-28 00:53:00.412000
400,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Cartersville#2023-10-27 21:19:00
500,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Cartersville#2023-10-27 21:19:00/2#Bristol#2023-10-28 00:36:00.412000+00:00
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Cartersville#2023-10-27 21:19:00/2#Bristol#2023-10-28 00:36:00.412000+00:00/2#Wytheville#2023-10-28 01:46:00.412000
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Cartersville#2023-10-27 21:19:00/2#Bristol#2023-10-28 00:36:00.412000+00:00/2#Salem#2023-10-28 02:54:00.412000
400,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Atlanta#2023-10-27 21:59:00
400,0#Augusta#2023-10-20T13:00:00+00:00/0#Langley#2023-10-20 13:11:00/1#Calhoun#2023-10-27 20:50:00+00:00/1#Oakwood#2023-10-27 22:33:00
200,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00
300,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00
400,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00
500,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Swedesboro#2023-10-30 00:12:49
